test path,"['nonstandard-140', 'nonstandard-37', 'nonstandard-706', 'nonstandard-1005', 'nonstandard-1015', 'nonstandard-1026', 'nonstandard-1031', 'nonstandard-1051', 'nonstandard-1068', 'nonstandard-1078', 'nonstandard-1080', 'nonstandard-1101', 'nonstandard-1104', 'nonstandard-111', 'nonstandard-1115', 'nonstandard-1119', 'nonstandard-1123', 'nonstandard-1125', 'nonstandard-1134', 'nonstandard-1146', 'nonstandard-1149', 'nonstandard-1152', 'nonstandard-1159', 'nonstandard-1164', 'nonstandard-1173', 'nonstandard-1184', 'nonstandard-1185', 'nonstandard-1202', 'nonstandard-1205', 'nonstandard-126', 'nonstandard-130', 'nonstandard-133', 'nonstandard-137', 'nonstandard-370', 'nonstandard-375', 'nonstandard-378', 'nonstandard-386', 'nonstandard-400', 'nonstandard-404', 'nonstandard-419', 'nonstandard-42', 'nonstandard-428', 'nonstandard-44', 'nonstandard-443', 'nonstandard-45', 'nonstandard-504', 'nonstandard-530', 'nonstandard-552', 'nonstandard-553', 'nonstandard-559', 'nonstandard-570', 'nonstandard-573', 'nonstandard-609', 'nonstandard-613', 'nonstandard-640', 'nonstandard-642', 'nonstandard-650', 'nonstandard-659', 'nonstandard-668', 'nonstandard-669', 'nonstandard-674', 'nonstandard-69', 'nonstandard-692', 'nonstandard-698', 'nonstandard-702', 'nonstandard-704', 'nonstandard-711', 'nonstandard-722', 'nonstandard-748', 'nonstandard-763', 'nonstandard-807', 'nonstandard-811', 'nonstandard-817', 'nonstandard-827', 'nonstandard-845', 'nonstandard-846', 'nonstandard-847', 'nonstandard-848', 'nonstandard-850', 'nonstandard-852', 'nonstandard-868', 'nonstandard-869', 'nonstandard-875', 'nonstandard-88', 'nonstandard-902', 'nonstandard-907', 'nonstandard-909', 'nonstandard-922', 'nonstandard-943', 'nonstandard-950', 'nonstandard-956', 'nonstandard-958', 'nonstandard-96', 'nonstandard-961', 'nonstandard-973', 'nonstandard-981', 'nonstandard-991', 'nonstandard-996', 'nonstandard-142', 'nonstandard-147', 'nonstandard-17', 'nonstandard-172', 'nonstandard-175', 'nonstandard-182', 'nonstandard-190', 'nonstandard-195', 'nonstandard-200', 'nonstandard-201', 'nonstandard-209', 'nonstandard-224', 'nonstandard-240', 'nonstandard-244', 'nonstandard-250', 'nonstandard-253', 'nonstandard-269', 'nonstandard-283', 'nonstandard-290', 'nonstandard-303', 'nonstandard-309', 'nonstandard-328', 'nonstandard-330', 'nonstandard-357', 'nonstandard-364', 'standard-239', 'standard-474', 'standard-726', 'standard-1005', 'standard-1010', 'standard-1016', 'standard-103', 'standard-1032', 'standard-1035', 'standard-1042', 'standard-105', 'standard-1052', 'standard-1054', 'standard-1059', 'standard-1065', 'standard-1083', 'standard-1084', 'standard-1086', 'standard-1087', 'standard-1099', 'standard-1119', 'standard-1122', 'standard-1141', 'standard-1145', 'standard-1149', 'standard-1162', 'standard-1172', 'standard-12', 'standard-138', 'standard-154', 'standard-158', 'standard-175', 'standard-177', 'standard-187', 'standard-194', 'standard-200', 'standard-219', 'standard-230', 'standard-475', 'standard-480', 'standard-482', 'standard-487', 'standard-497', 'standard-498', 'standard-532', 'standard-546', 'standard-551', 'standard-560', 'standard-567', 'standard-568', 'standard-588', 'standard-593', 'standard-613', 'standard-631', 'standard-650', 'standard-651', 'standard-660', 'standard-669', 'standard-671', 'standard-688', 'standard-690', 'standard-695', 'standard-702', 'standard-719', 'standard-243', 'standard-248', 'standard-263', 'standard-27', 'standard-281', 'standard-284', 'standard-298', 'standard-307', 'standard-308', 'standard-312', 'standard-323', 'standard-368', 'standard-38', 'standard-383', 'standard-391', 'standard-402', 'standard-410', 'standard-411', 'standard-417', 'standard-422', 'standard-427', 'standard-435', 'standard-440', 'standard-448', 'standard-464', 'standard-465', 'standard-468', 'standard-732', 'standard-733', 'standard-734', 'standard-74', 'standard-791', 'standard-811', 'standard-836', 'standard-851', 'standard-880', 'standard-884', 'standard-89', 'standard-893', 'standard-913', 'standard-919', 'standard-927', 'standard-937', 'standard-948', 'standard-950', 'standard-952', 'standard-958', 'standard-969', 'standard-971', 'standard-979', 'standard-983', 'standard-990', 'standard-992', 'standard-998']"
Image Name,real label,path
722,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/722
763,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/763
811,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/811
817,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/817
827,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/827
845,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/845
846,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/846
847,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/847
848,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/848
850,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/850
852,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/852
868,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/868
869,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/869
875,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/875
902,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/902
907,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/907
909,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/909
922,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/922
950,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/950
958,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/958
961,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/961
981,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/981
991,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/991
996,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/996
147,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/147
172,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/172
175,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/175
182,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/182
190,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/190
195,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/195
200,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/200
201,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/201
209,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/209
224,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/224
240,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/240
244,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/244
250,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/250
253,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/253
269,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/269
283,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/283
290,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/290
303,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/303
309,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/309
357,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/357
364,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/364
474,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/474
1010,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1010
103,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/103
1035,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1035
1059,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1059
1084,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1084
1086,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1086
1099,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1099
1172,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/1172
12,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/12
475,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/475
482,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/482
497,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/497
498,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/498
532,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/532
551,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/551
560,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/560
567,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/567
568,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/568
588,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/588
593,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/593
688,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/688
690,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/690
719,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/719
308,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/308
368,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/368
38,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/38
391,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/391
427,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/427
440,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/440
465,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/465
732,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/732
791,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/791
89,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/89
950,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/950
952,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/952
979,standard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/standard/979
 
